Imagen,Tipo,Ground Truth,Predicción,Distancia (px)
tipo1_img269,COVID,"(0, 31)","(11, 30)",11.05
tipo1_img2848,COVID,"(1, 34)","(6, 33)",5.10
tipo1_img369,COVID,"(2, 32)","(3, 31)",1.41
tipo1_img1387,COVID,"(3, 31)","(7, 30)",4.12
tipo1_img3333,COVID,"(4, 31)","(1, 30)",3.16
tipo1_img1405,COVID,"(5, 29)","(6, 28)",1.41
tipo1_img1139,COVID,"(6, 32)","(4, 31)",2.24
tipo1_img1476,COVID,"(7, 31)","(9, 30)",2.24
tipo1_img3519,COVID,"(8, 34)","(7, 33)",1.41
tipo1_img2474,COVID,"(9, 31)","(14, 29)",5.39
tipo1_img3512,COVID,"(10, 33)","(8, 32)",2.24
tipo1_img3039,COVID,"(11, 34)","(9, 33)",2.24
tipo1_img80,COVID,"(12, 31)","(0, 30)",12.04
tipo1_img855,COVID,"(13, 32)","(2, 31)",11.05
tipo1_img1422,COVID,"(14, 31)","(11, 30)",3.16
tipo1_img1697,COVID,"(15, 34)","(6, 33)",9.06
tipo1_img3380,COVID,"(16, 34)","(4, 33)",12.04
tipo1_img3363,COVID,"(17, 37)","(4, 36)",13.04
tipo1_img3031,COVID,"(18, 28)","(8, 27)",10.05
tipo1_img2169,COVID,"(19, 40)","(3, 38)",16.12
tipo1_img103,COVID,"(20, 31)","(2, 30)",18.03
tipo1_img162,COVID,"(21, 40)","(17, 39)",4.12
tipo1_img1502,COVID,"(22, 36)","(9, 35)",13.04
tipo1_img1560,COVID,"(23, 31)","(11, 30)",12.04
tipo1_img3329,COVID,"(24, 35)","(6, 34)",18.03
tipo1_img3602,COVID,"(25, 34)","(5, 33)",20.02
tipo1_img3296,COVID,"(26, 34)","(12, 33)",14.04
tipo1_img1051,COVID,"(27, 31)","(3, 30)",24.02
tipo1_img2834,COVID,"(28, 35)","(3, 34)",25.02
tipo1_img2459,COVID,"(29, 29)","(7, 28)",22.02
tipo1_img352,COVID,"(30, 33)","(9, 32)",21.02
tipo1_img1238,COVID,"(31, 34)","(0, 33)",31.02
tipo1_img231,COVID,"(32, 34)","(3, 33)",29.02
tipo1_img1803,COVID,"(33, 30)","(18, 30)",15.00
tipo1_img1248,COVID,"(34, 31)","(1, 30)",33.02
tipo1_img1907,COVID,"(35, 24)","(3, 24)",32.00
tipo1_img1823,COVID,"(36, 30)","(9, 29)",27.02
tipo1_img2725,COVID,"(37, 29)","(7, 28)",30.02
tipo1_img726,COVID,"(38, 35)","(11, 34)",27.02
tipo1_img989,COVID,"(39, 41)","(10, 40)",29.02
tipo1_img3130,COVID,"(40, 35)","(9, 34)",31.02
tipo1_img2948,COVID,"(41, 33)","(7, 32)",34.01
tipo1_img443,COVID,"(42, 31)","(8, 30)",34.01
tipo1_img1505,COVID,"(43, 34)","(9, 33)",34.01
tipo1_img1550,COVID,"(44, 28)","(7, 27)",37.01
tipo1_img2112,COVID,"(45, 30)","(13, 29)",32.02
tipo1_img3386,COVID,"(46, 33)","(10, 32)",36.01
tipo1_img2358,COVID,"(47, 39)","(9, 38)",38.01
tipo1_img3316,COVID,"(48, 30)","(3, 29)",45.01
tipo1_img2174,COVID,"(49, 32)","(6, 31)",43.01
tipo1_img3263,COVID,"(50, 34)","(1, 33)",49.01
tipo1_img2400,COVID,"(51, 34)","(9, 33)",42.01
tipo1_img1104,COVID,"(52, 30)","(9, 29)",43.01
tipo1_img100,COVID,"(53, 33)","(9, 32)",44.01
tipo1_img1818,COVID,"(54, 33)","(6, 32)",48.01
tipo1_img2504,COVID,"(55, 30)","(8, 29)",47.01
tipo1_img720,COVID,"(56, 30)","(0, 29)",56.01
tipo1_img881,COVID,"(57, 30)","(8, 29)",49.01
tipo1_img3413,COVID,"(58, 28)","(7, 27)",51.01
tipo1_img421,COVID,"(59, 28)","(16, 27)",43.01
tipo1_img2657,COVID,"(60, 30)","(8, 29)",52.01
tipo1_img1733,COVID,"(61, 33)","(8, 32)",53.01
tipo1_img1143,COVID,"(62, 28)","(5, 27)",57.01
tipo1_img1653,COVID,"(63, 38)","(6, 37)",57.01
tipo1_img1671,COVID,"(64, 30)","(12, 29)",52.01
tipo1_img3321,COVID,"(65, 35)","(7, 34)",58.01
tipo1_img2023,COVID,"(66, 39)","(13, 38)",53.01
tipo1_img969,COVID,"(67, 37)","(5, 36)",62.01
tipo1_img2527,COVID,"(68, 29)","(9, 28)",59.01
tipo1_img94,COVID,"(69, 35)","(6, 34)",63.01
tipo2_img1837,Normal,"(80, 33)","(5, 32)",75.01
tipo2_img2258,Normal,"(81, 31)","(2, 31)",79.00
tipo2_img7660,Normal,"(82, 32)","(5, 32)",77.00
tipo2_img1168,Normal,"(83, 29)","(4, 29)",79.00
tipo2_img10078,Normal,"(84, 29)","(6, 30)",78.01
tipo2_img395,Normal,"(85, 34)","(1, 28)",84.21
tipo2_img7574,Normal,"(86, 33)","(6, 32)",80.01
tipo2_img7461,Normal,"(87, 34)","(7, 32)",80.02
tipo2_img8726,Normal,"(88, 32)","(3, 34)",85.02
tipo2_img1821,Normal,"(89, 34)","(5, 32)",84.02
tipo2_img30,Normal,"(90, 33)","(6, 31)",84.02
tipo2_img5711,Normal,"(91, 32)","(7, 34)",84.02
tipo2_img7712,Normal,"(92, 33)","(13, 33)",79.00
tipo2_img3507,Normal,"(93, 30)","(10, 34)",83.10
tipo2_img4105,Normal,"(94, 32)","(8, 32)",86.00
tipo2_img3168,Normal,"(95, 29)","(10, 31)",85.02
tipo2_img8339,Normal,"(96, 33)","(6, 29)",90.09
tipo2_img1950,Normal,"(97, 34)","(0, 30)",97.08
tipo2_img3670,Normal,"(98, 35)","(7, 34)",91.01
tipo2_img1298,Normal,"(99, 33)","(10, 29)",89.09
tipo2_img8520,Normal,"(100, 32)","(6, 29)",94.05
tipo2_img7635,Normal,"(101, 35)","(2, 30)",99.13
tipo2_img7874,Normal,"(102, 34)","(13, 34)",89.00
tipo2_img2520,Normal,"(103, 35)","(6, 29)",97.19
tipo2_img3583,Normal,"(104, 33)","(12, 30)",92.05
tipo2_img10130,Normal,"(105, 32)","(9, 31)",96.01
tipo2_img5015,Normal,"(106, 30)","(11, 29)",95.01
tipo2_img9417,Normal,"(107, 31)","(18, 32)",89.01
tipo2_img4185,Normal,"(108, 35)","(9, 31)",99.08
tipo2_img4544,Normal,"(109, 30)","(8, 33)",101.04
tipo2_img4235,Normal,"(110, 30)","(6, 30)",104.00
tipo2_img4484,Normal,"(111, 31)","(7, 33)",104.02
tipo2_img836,Normal,"(112, 35)","(8, 31)",104.08
tipo2_img8814,Normal,"(113, 30)","(11, 32)",102.02
tipo2_img7293,Normal,"(114, 31)","(10, 34)",104.04
tipo2_img8608,Normal,"(115, 32)","(7, 32)",108.00
tipo2_img6393,Normal,"(116, 31)","(3, 31)",113.00
tipo2_img6322,Normal,"(117, 37)","(10, 35)",107.02
tipo2_img4857,Normal,"(118, 32)","(0, 31)",118.00
tipo2_img805,Normal,"(119, 34)","(6, 32)",113.02
tipo2_img7573,Normal,"(120, 31)","(6, 33)",114.02
tipo2_img2073,Normal,"(121, 34)","(7, 30)",114.07
tipo2_img2112,Normal,"(122, 32)","(2, 31)",120.00
